tile_index,jis_code,unicode,character,file_offset
231,0x324C,U+679C,果,0x20884
232,0x324D,U+67B6,架,0x208C4
233,0x324E,U+6B4C,歌,0x20904
234,0x324F,U+6CB3,河,0x20944
235,0x3250,U+706B,火,0x20984
236,0x3251,U+73C2,珂,0x209C4
237,0x3252,U+798D,禍,0x20A04
238,0x3253,U+79BE,禾,0x20A44
239,0x3254,U+7A3C,稼,0x20A84
240,0x3255,U+7B87,箇,0x20AC4
241,0x3256,U+82B1,花,0x20B04
242,0x3257,U+82DB,苛,0x20B44
243,0x3258,U+8304,茄,0x20B84
244,0x3259,U+8377,荷,0x20BC4
245,0x325A,U+83EF,華,0x20C04
246,0x325B,U+83D3,菓,0x20C44
247,0x325C,U+8766,蝦,0x20C84
248,0x325D,U+8AB2,課,0x20CC4
249,0x325E,U+5629,嘩,0x20D04
250,0x325F,U+8CA8,貨,0x20D44
251,0x3260,U+8FE6,迦,0x20D84
252,0x3261,U+904E,過,0x20DC4
253,0x3262,U+971E,霞,0x20E04
254,0x3263,U+868A,蚊,0x20E44
255,0x3264,U+4FC4,俄,0x20E84
256,0x3265,U+5CE8,峨,0x20EC4
257,0x3266,U+6211,我,0x20F04
258,0x3267,U+7259,牙,0x20F44
259,0x3268,U+753B,画,0x20F84
260,0x3269,U+81E5,臥,0x20FC4
261,0x326A,U+82BD,芽,0x21004
262,0x326B,U+86FE,蛾,0x21044
263,0x326C,U+8CC0,賀,0x21084
264,0x326D,U+96C5,雅,0x210C4
265,0x326E,U+9913,餓,0x21104
266,0x326F,U+99D5,駕,0x21144
267,0x3270,U+4ECB,介,0x21184
268,0x3271,U+4F1A,会,0x211C4
269,0x3272,U+89E3,解,0x21204
270,0x3273,U+56DE,回,0x21244
271,0x3274,U+584A,塊,0x21284
272,0x3275,U+58CA,壊,0x212C4
273,0x3276,U+5EFB,廻,0x21304
274,0x3277,U+5FEB,快,0x21344
275,0x3278,U+602A,怪,0x21384
276,0x3279,U+6094,悔,0x213C4
277,0x327A,U+6062,恢,0x21404
278,0x327B,U+61D0,懐,0x21444
279,0x327C,U+6212,戒,0x21484
280,0x327D,U+62D0,拐,0x214C4
281,0x327E,U+6539,改,0x21504
282,0x3321,U+9B41,魁,0x21544
283,0x3322,U+6666,晦,0x21584
284,0x3323,U+68B0,械,0x215C4
285,0x3324,U+6D77,海,0x21604
286,0x3325,U+7070,灰,0x21644
287,0x3326,U+754C,界,0x21684
288,0x3327,U+7686,皆,0x216C4
289,0x3328,U+7D75,絵,0x21704
290,0x3329,U+82A5,芥,0x21744
291,0x332A,U+87F9,蟹,0x21784
292,0x332B,U+958B,開,0x217C4
293,0x332C,U+968E,階,0x21804
294,0x332D,U+8C9D,貝,0x21844
295,0x332E,U+51F1,凱,0x21884
296,0x332F,U+52BE,劾,0x218C4
297,0x3330,U+5916,外,0x21904
298,0x3331,U+54B3,咳,0x21944
299,0x3332,U+5BB3,害,0x21984
300,0x3333,U+5D16,崖,0x219C4
301,0x3334,U+6168,慨,0x21A04
302,0x3335,U+6982,概,0x21A44
303,0x3336,U+6DAF,涯,0x21A84
304,0x3337,U+788D,碍,0x21AC4
305,0x3338,U+84CB,蓋,0x21B04
306,0x3339,U+8857,街,0x21B44
307,0x333A,U+8A72,該,0x21B84
308,0x333B,U+93A7,鎧,0x21BC4
309,0x333C,U+9AB8,骸,0x21C04
310,0x333D,U+6D6C,浬,0x21C44
311,0x333E,U+99A8,馨,0x21C84
312,0x333F,U+86D9,蛙,0x21CC4
313,0x3340,U+57A3,垣,0x21D04
314,0x3341,U+67FF,柿,0x21D44
315,0x3342,U+86CE,蛎,0x21D84
316,0x3343,U+920E,鈎,0x21DC4
317,0x3344,U+5283,劃,0x21E04
318,0x3345,U+5687,嚇,0x21E44
319,0x3346,U+5404,各,0x21E84
320,0x3347,U+5ED3,廓,0x21EC4
321,0x3348,U+62E1,拡,0x21F04
322,0x3349,U+64B9,撹,0x21F44
323,0x334A,U+683C,格,0x21F84
324,0x334B,U+6838,核,0x21FC4
325,0x334C,U+6BBB,殻,0x22004
326,0x334D,U+7372,獲,0x22044
