order,korean,unicode,sjis_code,replaced_kanji,glyph_index,byte_offset
230,꽉,U+AF49,0x9ABE,埓,6653,0x5321C
231,꽐,U+AF50,0x9ABF,堊,6654,0x53258
232,꽜,U+AF5C,0x9AC0,埖,6655,0x53294
233,꽝,U+AF5D,0x9AC1,埣,6656,0x532D0
234,꽤,U+AF64,0x9AC3,堙,6658,0x53344
235,꽥,U+AF65,0x9AC5,塲,6660,0x533B8
236,꽹,U+AF79,0x9AC6,堡,6661,0x533F4
237,꾀,U+AF80,0x9AC7,塢,6662,0x53430
238,꾄,U+AF84,0x9AC8,塋,6663,0x5346C
239,꾈,U+AF88,0x9AC9,塰,6664,0x534A8
240,꾐,U+AF90,0x9ACA,毀,6665,0x534E4
241,꾑,U+AF91,0x9ACB,塒,6666,0x53520
242,꾕,U+AF95,0x9ACC,堽,6667,0x5355C
243,꾜,U+AF9C,0x9ACD,塹,6668,0x53598
244,꾸,U+AFB8,0x9ACE,墅,6669,0x535D4
245,꾹,U+AFB9,0x9AD0,墟,6671,0x53648
246,꾼,U+AFBC,0x9AD1,墫,6672,0x53684
247,꿀,U+AFC0,0x9AD4,墻,6675,0x53730
248,꿇,U+AFC7,0x9AD5,墸,6676,0x5376C
249,꿈,U+AFC8,0x9AD6,墮,6677,0x537A8
250,꿉,U+AFC9,0x9AD7,壅,6678,0x537E4
251,꿋,U+AFCB,0x9AD9,壑,6680,0x53858
252,꿍,U+AFCD,0x9ADA,壗,6681,0x53894
253,꿎,U+AFCE,0x9ADB,壙,6682,0x538D0
254,꿔,U+AFD4,0x9ADD,壥,6684,0x53944
255,꿜,U+AFDC,0x9ADE,壜,6685,0x53980
256,꿨,U+AFE8,0x9ADF,壤,6686,0x539BC
257,꿩,U+AFE9,0x9AE1,壯,6688,0x53A30
258,꿰,U+AFF0,0x9AE2,壺,6689,0x53A6C
259,꿱,U+AFF1,0x9AE3,壹,6690,0x53AA8
260,꿴,U+AFF4,0x9AE4,壻,6691,0x53AE4
261,꿸,U+AFF8,0x9AE5,壼,6692,0x53B20
262,뀀,U+B000,0x9AE6,壽,6693,0x53B5C
263,뀁,U+B001,0x9AEA,夛,6697,0x53C40
264,뀄,U+B004,0x9AEC,夥,6699,0x53CB4
265,뀌,U+B00C,0x9AEF,夲,6702,0x53D60
266,뀐,U+B010,0x9AF0,夸,6703,0x53D9C
267,뀔,U+B014,0x9AF7,奘,6710,0x53F28
268,뀜,U+B01C,0x9AF9,奠,6712,0x53F9C
269,뀝,U+B01D,0x9AFB,奬,6714,0x54010
270,뀨,U+B028,0x9B40,奸,6783,0x545B8
